NODE_ID,ARS-ID,정류소명,좌표X,좌표Y
100900002,01863,경진빌라,126.9579112589,37.6018900247
100900004,01864,명륜시장.성대후문,126.9952573617,37.5887411963
100900006,01865,완성빌라,126.9576705646,37.6033409051
100900008,01866,양현관,126.9937844716,37.5897776871
100900010,01868,상명대후문,126.9574659368,37.6040725499
100900012,01869,샘미용실,126.993432173,37.590265093
100900014,01870,산정빌라,126.9575840685,37.6052849819
100900018,01872,구기빌라,126.957956179,37.6061570242
100900019,01873,마트앞,126.9587519429,37.606703668
100900022,01874,국민은행.세검정지점,126.9608711635,37.6049105807
100900027,01876,혜화역4번출구,127.0015413078,37.583472298
100900028,01877,방송통신대앞,127.0020672577,37.578698356
100900030,01878,서울대치과대학,126.9977684058,37.5773944493
100900033,01879,효제초교.연동교회.김마리아활동터,127.0020640035,37.5736466069
100900204,01881,성균관대학교,126.9900098022,37.5884673455
100900214,01882,독립문역,126.9593030074,37.573216716
100900038,01883,서울대치과대학,126.9978352684,37.5775507621
100900043,01886,이화사거리,127.0021043976,37.5769496232
100900042,01887,서울대학교병원현관.암병원현관,126.9981605421,37.5789652398
100900211,01888,종각.공평유적전시관,126.9830861139,37.5715945112
100900213,01889,조계사,126.9829895135,37.5738610302
100000399,01901,JW메리어트동대문호텔,127.0094839606,37.5703033636
100000407,01902,대학로,127.0020227893,37.5818869883
100000408,01903,창경궁,126.9965211601,37.5791691849
100000409,01904,창덕궁,126.9902059736,37.5774370421
100000410,01905,인사동.북촌,126.9838223896,37.5758549481
100000411,01906,경복궁.국립민속박물관,126.9798460174,37.5801955967
100000412,01907,세종문화회관,126.9767655261,37.5711339781
100000401,01910,통인시장,126.9713415228,37.5791206246
100000402,01911,세종문화회관,126.9767311479,37.5721093364
101000313,01912,종각역,126.9829140886,37.5693783276
100000403,01913,인사동.탑골공원,126.988797953,37.5701446228
100000404,01914,종묘.세운상가,126.9941936743,37.5703916012
100000405,01915,광장시장,126.9996619273,37.5707588859
100000406,01916,동묘.숭인동도깨비시장,127.0179931239,37.573572777
105000553,01917,서울풍물시장,127.0232491024,37.5733420366
100000400,01918,청와대,126.9737046951,37.5826838766
101000001,02001,남대문세무서.서울백병원,126.9874579937,37.5649827048
101000002,02002,서울백병원.국가인권위.안중근활동터,126.9878514335,37.5643504512
101000003,02003,서울역버스환승센터,126.9725910246,37.5550390603
101000004,02004,서울역버스환승센터,126.9725522061,37.5554776389
101000005,02005,서울역버스환승센터,126.9725602947,37.555376237
101000006,02006,서울역버스환승센터,126.9727726582,37.5554752628
101000007,02007,서울역버스환승센터.강우규의거터,126.9727726576,37.5554664032
101000008,02008,숭례문,126.9737882686,37.5586333183
101000329,02099,숭례문(가상),126.9744890187,37.5597629406
101000303,02100,서울시청,126.9806329774,37.5660640631
101000009,02101,만리동고개,126.9625260855,37.5517028711
101000010,02102,손기정체육공원입구,126.9662684319,37.5543899838
101000011,02103,서울의료보건고등학교.서울역서부,126.9690677303,37.5561797215
101000012,02104,서울역서부,126.9691952084,37.5563197504
101000013,02105,서울역서부,126.969185906,37.5569643623
101000014,02106,중림동교차로,126.969210225,37.5583873391
101000015,02107,종근당.충정로역,126.9643899703,37.5596102082
101000016,02108,한국경제신문사.서소문역사공원,126.9678361628,37.5604606714
101000017,02109,한국경제신문사.서소문역사공원,126.9679822505,37.5605834918
101000018,02110,경찰청.동북아역사재단,126.9690060167,37.5629931372
101000300,02111,써미트호텔,127.0066272686,37.5624411151
101000020,02113,서대문경찰서.농협은행.유관순활동터,126.9676562745,37.5648478757
101000021,02116,염천교,126.9733638501,37.5598374617
101000022,02117,숭례문,126.9732327954,37.5580109516
101000023,02118,숭례문.한국일보,126.9738534689,37.5587064564
101000025,02120,후암삼거리,126.9760729676,37.5533291272
101000026,02121,숭례문,126.9742235154,37.5588415096
101000027,02122,숭례문,126.9740061243,37.5585974617
101000028,02123,숭례문,126.9735239586,37.558058134
101000029,02124,남대문시장악세사리전문상가,126.9759991814,37.558573168
101000030,02125,숭례문남산방향,126.9758030142,37.5585906691
101000031,02126,남대문시장,126.9800196252,37.5613289437
101000032,02127,북창동.남대문시장,126.9779334764,37.5610812855
101000033,02128,시청앞,126.97648724,37.5626069098
101000034,02131,삼성본관앞,126.9760490964,37.5620176777
101000035,02132,시청앞,126.9763191308,37.562723356
101000036,02133,서소문,126.9748278571,37.5633054584
101000037,02134,서소문,126.9753580928,37.5636451423
101000038,02135,시청.서소문청사,126.9749714141,37.5634962458
101000039,02137,서울신문사,126.9772704866,37.5683636767
101000040,02139,우리은행종로지점,126.9827971458,37.5675222611
101000041,02140,롯데백화점,126.9821793435,37.5644712444
101000042,02141,해운센터.롯데영프라자,126.9816645405,37.562858715
101000043,02142,롯데영프라자,126.9819217706,37.5630081328
101000045,02144,신세계앞,126.981632,37.560919
